                    .;Veränderung zum Vortag;Füllstand
17.04.2026;;23,24
18.04.2026;0,30;23,54
19.04.2026;0,25;23,79
20.04.2026;0,05;23,84
21.04.2026;-0,02;23,82
22.04.2026;0,02;23,84
23.04.2026;0,04;23,88
24.04.2026;0,21;24,09
25.04.2026;0,29;24,38
26.04.2026;0,29;24,67
27.04.2026;0,17;24,84
28.04.2026;0,30;25,14
29.04.2026;0,29;25,43
30.04.2026;0,28;25,71
01.05.2026;0,41;26,12
02.05.2026;0,40;26,52
03.05.2026;0,39;26,91
04.05.2026;0,25;27,16
05.05.2026;0,04;27,20
06.05.2026;0,05;27,25
07.05.2026;-0,03;27,22
08.05.2026;0,10;27,32
09.05.2026;0,27;27,59
10.05.2026;0,32;27,91
11.05.2026;0,18;28,09
12.05.2026;-0,02;28,07
13.05.2026;-0,05;28,02
14.05.2026;0,04;28,06
15.05.2026;0,05;28,11
16.05.2026;0,12;28,23
17.05.2026;0,17;28,40